"BrokerID","ParticipantID","ClientID","InstrumentGroupID","MarginCombType"
"guofu","0385","00187575","01","1"
"guofu","0385","00257348","01","1"
"guofu","0385","00272421","01","1"
"guofu","0385","00458001","01","1"
"guofu","0385","00477734","01","1"
"guofu","0385","00758756","01","1"
"guofu","0385","00981752","01","1"
"guofu","0385","01194197","01","1"
"guofu","0385","01288999","01","1"
"guofu","0385","01350319","01","1"
"guofu","0385","01430012","01","1"
"guofu","0385","01457313","01","1"
"guofu","0385","01460461","01","1"
"guofu","0385","01492295","01","1"
"guofu","0385","01513187","01","1"
"guofu","0385","01513863","01","1"
"guofu","0385","01518111","01","1"
"guofu","0385","01543648","01","1"
"guofu","0385","01543679","01","1"
"guofu","0385","01547174","01","1"
"guofu","0385","00187575","02","1"
"guofu","0385","00257348","02","1"
"guofu","0385","00272421","02","1"
"guofu","0385","00458001","02","1"
"guofu","0385","00477734","02","1"
"guofu","0385","00758756","02","1"
"guofu","0385","00981752","02","1"
"guofu","0385","01194197","02","1"
"guofu","0385","01288999","02","1"
"guofu","0385","01350319","02","1"
"guofu","0385","01430012","02","1"
"guofu","0385","01457313","02","1"
"guofu","0385","01460461","02","1"
"guofu","0385","01492295","02","1"
"guofu","0385","01513187","02","1"
"guofu","0385","01513863","02","1"
"guofu","0385","01518111","02","1"
"guofu","0385","01543648","02","1"
"guofu","0385","01543679","02","1"
"guofu","0385","01547174","02","1"
"guofu","0385","00187575","03","1"
"guofu","0385","00257348","03","1"
"guofu","0385","00272421","03","1"
"guofu","0385","00458001","03","1"
"guofu","0385","00477734","03","1"
"guofu","0385","00758756","03","1"
"guofu","0385","00981752","03","1"
"guofu","0385","01194197","03","1"
"guofu","0385","01288999","03","1"
"guofu","0385","01350319","03","1"
"guofu","0385","01430012","03","1"
"guofu","0385","01457313","03","1"
"guofu","0385","01460461","03","1"
"guofu","0385","01492295","03","1"
"guofu","0385","01513187","03","1"
"guofu","0385","01513863","03","1"
"guofu","0385","01518111","03","1"
"guofu","0385","01543648","03","1"
"guofu","0385","01543679","03","1"
"guofu","0385","01547174","03","1"
